,IPI_GEN,IPI_EQ,IPI_INT,IPI_CNSNA,IPI_ALIM,IPI_ENER,IPI_AUTOMOV,IPI_MANUFAC,IPI_CNSD,IPI_NODURADERO,IPI_NOENERGIA,IPI_METALICOS,IPI_TRANSPORTE
Mar-20,96.976,89.238,103.081,99.405,100.004,93.174,66.913,98.259,75.965,101.732,98.035,99.07,76.035
Apr-20,67.987,46.597,69.224,64.569,85.819,78.359,2.198,65.606,30.859,79.989,65.099,52.275,24.582
May-20,82.448,75.261,86.743,84.516,88.672,78.696,44.451,83.392,65.045,88.615,83.493,94.741,57.296
Jun-20,95.798,103.248,97.931,96.525,94.491,85.706,102.119,98.018,93.136,95.606,98.608,105.229,93.891
Jul-20,107.492,109.721,108.232,110.51,104.024,104.821,107.383,107.511,111.05,106.623,108.236,112.814,100.816
Aug-20,80.886,62.007,78.353,67.946,95.641,101.048,35.938,75.721,70.195,84.157,75.272,90.355,43.497
Sep-20,105.82,110.968,110.055,105.548,105.01,95.399,112.857,108.186,111.18,104.755,108.722,109.92,107.919
Oct-20,107.524,116.032,114.571,107.905,103.398,91.599,124.609,111.409,113.32,104.78,111.958,119.256,115.807
Nov-20,105.993,115.119,113.662,104.581,101.315,89.909,122.107,110.013,110.346,102.162,110.471,115.95,113.032
Dec-20,97.14,101.235,94.599,84.074,100.116,101.59,87.355,95.875,95.688,92.597,95.901,95.395,85.659
Jan-21,95.706,91.657,99.177,86.586,90.397,103.438,99.332,93.533,83.467,89.105,93.553,95.682,89.211
Feb-21,99.968,103.907,107.343,100.335,93.617,89.711,96.341,102.402,100.559,96.337,102.824,109.658,98.974
Mar-21,111.651,116.935,121.157,115.622,105.277,95.148,98.273,115.571,113.92,109.639,116.246,124.599,103.364
