,Hoja1 * s_GENERA,Hoja1 * s_B_C_D,Hoja1 * s_B,Hoja1 * s_C,Hoja1 * s_D,Hoja1 * s_E,Hoja1 * s_08,Hoja1 * s_10,Hoja1 * s_11,Hoja1 * s_13,Hoja1 * s_14,Hoja1 * s_15,Hoja1 * s_16,Hoja1 * s_17,Hoja1 * s_18,Hoja1 * s_19,Hoja1 * s_20,Hoja1 * s_21,Hoja1 * s_22,Hoja1 * s_23,Hoja1 * s_24,Hoja1 * s_25,Hoja1 * s_26,Hoja1 * s_27,Hoja1 * s_28,Hoja1 * s_29,Hoja1 * s_30,Hoja1 * s_31,Hoja1 * s_32,Hoja1 * s_35,Hoja1 * s_33,Hoja1 * s_36,Hoja1 * s_CD,Hoja1 * s_CN,Hoja1 * s_EN,Hoja1 * s_EQ,Hoja1 * s_IN,Hoja1 * s_XC,Hoja1 * s_EN_X_E,Hoja1 * s_051,Hoja1 * s_061,Hoja1 * s_072,Hoja1 * s_081
1992-11-30,98.185355332,98.645333751,340.632944452,100.826371564,68.600453015,,152.729195931,77.094664888,78.563742193,216.264660935,335.82438679,250.56270829,205.859586916,65.531759494,91.723716524,82.332635811,67.68066522,42.339171797,67.951381679,170.248236793,77.211374062,132.442819348,233.076054248,93.016748836,75.10011079,64.59045341,309.740867328,266.722248827,95.634293012,68.600453015,,,234.387958847,87.537702468,77.304448796,109.118655399,102.812725921,98.120271512,79.502791498,712.470581145,461.386565481,3840.16010455,171.016431683
1992-12-31,87.529580334,87.939638615,268.798786098,88.686314151,70.838640716,,122.128713025,73.533488108,77.230269907,178.803970031,284.751516861,219.509362804,177.176043187,56.828322686,85.899988491,75.197766573,58.976070994,32.079275562,50.137738218,141.259359532,64.05316562,107.898068001,343.444421113,73.489194193,79.317901724,43.425839644,246.001421376,241.3925006,82.811817972,70.838640716,,,190.632386307,78.635563234,75.777985774,101.606863904,86.248453412,86.883357301,77.932919734,504.42379093,392.680010486,3636.705456349,131.266666481
1993-01-31,88.924979441,89.341574883,297.184864803,88.941894308,78.560388282,,136.336080089,80.752089689,55.450222566,181.322335806,306.23454945,243.826268264,201.446734034,61.231237777,85.576448045,86.744989156,64.453119046,31.737279021,58.39571863,149.120749976,73.239084721,111.192665498,145.192671441,79.749936903,68.890585249,49.676528684,251.673784248,219.102322161,72.874399815,78.560388282,,,181.644755191,81.179031586,85.154830056,87.242209993,91.674680613,88.8527134,87.576417715,639.385178548,399.01011752,3590.696259309,152.220031083
1993-02-28,91.081505333,91.508203661,279.805632943,92.64780657,71.062459486,,146.718386789,74.977208424,50.894192255,191.867992489,361.563491872,275.701130827,210.272439797,65.634152868,89.297163177,82.238755953,67.191643072,37.551220221,61.462968498,154.034119003,73.735620889,119.923348863,182.896150804,83.476569468,73.928502197,54.7209444,233.462513976,238.099633331,83.132379848,71.062459486,,,196.781818123,82.55674361,77.522514943,93.831500778,96.244135098,91.053758452,79.727058893,665.391027325,161.666666154,3916.842099616,167.935054535
1993-03-31,98.946482117,99.410026261,324.41232805,101.08195172,73.972103496,,157.920349281,76.902168846,67.340350451,211.857520829,373.926369117,312.505095848,214.24400739,72.801689062,103.047632145,82.708155245,72.766495554,42.886366263,67.83341053,173.687595112,82.549137864,131.948629724,202.639063635,86.010679613,80.489510316,61.190955863,253.166511319,258.870026876,91.7875505,73.972103496,,,221.616061997,90.08117082,81.120606353,103.583651139,104.526271353,99.742094182,83.427470909,699.91603346,401.428360656,4143.1776657,180.876838555
1993-04-30,91.081505333,91.508203661,312.536519612,93.414547039,65.35508085,,153.275633126,71.704775707,71.674135381,190.451411741,277.050052348,235.446794085,195.930667933,70.344248081,104.988874822,80.830558077,78.830370184,36.04643544,59.929343564,163.860857057,74.108023014,119.429159238,191.396571606,74.532651311,76.506041101,53.843654711,217.788879726,235.060063543,85.162605063,65.35508085,,,199.146984207,81.920876522,73.924423532,93.567929146,98.814453246,90.590380546,76.026646877,682.877718744,369.635575891,4443.96897538,171.324569398
1993-05-31,96.155683904,96.606153725,323.253712592,98.781730316,67.481359165,,154.91494471,74.59221634,77.341392597,199.895283397,292.452981374,226.574409661,216.450433831,70.651428204,103.85648326,84.585752412,74.233561997,44.18595312,66.88964134,174.915937369,80.935395319,127.830382854,182.210632998,85.712549008,85.410266405,59.21705406,246.001421376,254.057374713,88.688785699,67.481359165,,,220.669995564,86.371946139,76.541217285,99.761862484,103.81229409,96.26675989,78.717855616,708.883567521,373.262940596,4418.614444753,175.638497404
1993-06-30,97.677937475,98.135538745,322.384750999,101.08195172,64.124077615,,160.652535255,75.939688635,85.342226314,199.895283397,316.773395626,230.846298458,219.09814556,68.910740842,99.326917012,81.393837227,70.908211394,44.459550353,66.535727894,175.407274271,80.935395319,131.783899849,254.464209815,85.414418402,90.213861635,64.371130988,226.894514862,250.511209962,88.047661947,64.124077615,,,219.960445739,88.597480948,73.270225093,108.855083767,103.241112279,98.236115988,75.353844692,720.989738503,339.620911079,3463.305202989,187.964005994
1993-07-31,98.43906426,98.900231254,293.419364566,101.848692188,65.914627775,,157.373912087,76.517176762,96.121127294,212.801907994,354.064697478,267.814566894,236.308271797,66.248513113,90.429554739,80.830558077,75.015997433,51.436279793,70.900660397,171.230910598,77.459642146,132.278089473,188.106086135,89.141050968,96.189065458,60.09434375,214.95269829,265.96235638,92.749236128,65.914627775,,,233.441892413,92.518661325,73.706357386,102.265792982,104.526271353,102.869895045,75.802379482,568.990036169,392.111012101,2875.574814995,176.562910548
1993-08-31,57.338217842,57.606835731,268.798786098,54.821943474,63.900258844,,142.620107828,70.453551433,85.231103624,33.840540103,203.075459,139.493599566,65.972150576,44.950691278,56.619578101,80.07951921,49.586845761,11.149087242,22.178575965,120.868878069,42.081440204,53.043019689,83.633172407,22.210730091,29.758858254,10.198492644,139.719253888,87.387631382,45.626640353,63.900258844,,,66.22465033,63.162797422,71.525695925,37.954314921,53.976681109,64.293684403,73.559705533,520.56535224,367.430707149,2981.569121079,145.441001359
